,Area,Area_Name,BHK,Bathroom,Furnishing,Parking,Status,Transaction,Type,Per_Sqft,Price
56,850,lajpat nagar,2,2,Semi-Furnished,1,Ready_to_move,Resale,Builder_Floor,22000,14600000
57,8000,lajpat nagar,4,5,Semi-Furnished,1,Ready_to_move,New_Property,Builder_Floor,22000,240000000
58,890,lajpat nagar,2,2,Semi-Furnished,1,Ready_to_move,Resale,Builder_Floor,22000,8300000
59,1100,lajpat nagar,3,3,Unfurnished,1,Ready_to_move,New_Property,Builder_Floor,22000,22500000
102,1500,lajpat nagar,3,3,Semi-Furnished,1,Ready_to_move,Resale,Builder_Floor,26666,40000000
103,2880,lajpat nagar,4,5,Unfurnished,1,Ready_to_move,New_Property,Builder_Floor,15972,46000000
104,2700,lajpat nagar,4,4,Semi-Furnished,2,Ready_to_move,Resale,Builder_Floor,183333,55000000
105,1400,lajpat nagar,3,3,Unfurnished,1,Ready_to_move,Resale,Builder_Floor,183333,24500000
106,1800,lajpat nagar,3,3,Unfurnished,1,Ready_to_move,Resale,Apartment,183333,24500000
107,1400,lajpat nagar,3,3,Semi-Furnished,1,Ready_to_move,New_Property,Builder_Floor,183333,32500000
108,1000,lajpat nagar,2,2,Furnished,1,Ready_to_move,Resale,Apartment,20000,20000000
109,8000,lajpat nagar,4,5,Semi-Furnished,1,Ready_to_move,New_Property,Builder_Floor,20000,240000000
111,1700,lajpat nagar,3,3,Furnished,2,Ready_to_move,Resale,Builder_Floor,20000,19000000
112,1600,lajpat nagar,3,3,Unfurnished,2,Ready_to_move,Resale,Builder_Floor,20000,26000000
113,1350,lajpat nagar,3,3,Unfurnished,1,Ready_to_move,Resale,Builder_Floor,15556,21000000
114,1700,lajpat nagar,3,3,Semi-Furnished,1,Ready_to_move,Resale,Builder_Floor,16176,27500000
115,1400,lajpat nagar,3,3,Semi-Furnished,2,Ready_to_move,New_Property,Builder_Floor,16176,32500000
116,1450,lajpat nagar,3,3,Semi-Furnished,1,Ready_to_move,New_Property,Builder_Floor,16176,45000000
117,1350,lajpat nagar,3,3,Semi-Furnished,1,Ready_to_move,Resale,Builder_Floor,15556,21000000
118,1700,lajpat nagar,3,3,Unfurnished,1,Ready_to_move,Resale,Builder_Floor,15556,28000000
119,1600,lajpat nagar,3,3,Unfurnished,2,Ready_to_move,Resale,Builder_Floor,15556,29500000
123,1350,lajpat nagar,2,2,Furnished,4,Ready_to_move,Resale,Builder_Floor,9259,12500000
124,1500,lajpat nagar,3,3,Semi-Furnished,2,Ready_to_move,New_Property,Builder_Floor,9259,26000000
125,750,lajpat nagar,2,2,Semi-Furnished,2,Ready_to_move,New_Property,Builder_Floor,9259,11500000
126,850,lajpat nagar,2,2,Semi-Furnished,2,Ready_to_move,Resale,Builder_Floor,9259,14600000
127,1575,lajpat nagar,3,3,Semi-Furnished,1,Ready_to_move,New_Property,Builder_Floor,9259,25500000
128,1675,lajpat nagar,3,3,Semi-Furnished,2,Ready_to_move,New_Property,Builder_Floor,18507,31000000
129,1350,lajpat nagar,3,3,Semi-Furnished,2,Ready_to_move,Resale,Builder_Floor,18507,22000000
130,900,lajpat nagar,2,2,Semi-Furnished,2,Ready_to_move,New_Property,Builder_Floor,18507,13400000
131,1800,lajpat nagar,3,3,Semi-Furnished,2,Almost_ready,New_Property,Builder_Floor,18507,35000000
132,900,lajpat nagar,2,2,Furnished,2,Ready_to_move,Resale,Builder_Floor,18507,11000000
133,900,lajpat nagar,2,2,Unfurnished,2,Ready_to_move,Resale,Builder_Floor,7000,6300000
134,900,lajpat nagar,2,2,Furnished,2,Ready_to_move,Resale,Builder_Floor,7000,12500000
135,800,lajpat nagar,2,2,Unfurnished,1,Ready_to_move,New_Property,Builder_Floor,7000,14500000
136,1100,lajpat nagar,2,3,Semi-Furnished,1,Ready_to_move,New_Property,Builder_Floor,7000,22500000
137,810,lajpat nagar,2,2,Semi-Furnished,1,Ready_to_move,New_Property,Builder_Floor,7000,15500000
138,1500,lajpat nagar,3,3,Semi-Furnished,1,Ready_to_move,New_Property,Builder_Floor,7000,26000000
139,900,lajpat nagar,2,2,Semi-Furnished,1,Ready_to_move,New_Property,Builder_Floor,7000,15800000
140,825,lajpat nagar,2,2,Unfurnished,1,Ready_to_move,New_Property,Builder_Floor,7000,15000000
141,900,lajpat nagar,2,2,Unfurnished,1,Ready_to_move,New_Property,Builder_Floor,7000,13000000
142,875,lajpat nagar,2,2,Unfurnished,1,Ready_to_move,New_Property,Builder_Floor,7000,15000000
143,1350,lajpat nagar,3,3,Semi-Furnished,1,Ready_to_move,New_Property,Builder_Floor,7000,25000000
144,750,lajpat nagar,2,2,Semi-Furnished,1,Ready_to_move,New_Property,Builder_Floor,7000,16500000
145,900,lajpat nagar,2,2,Unfurnished,1,Ready_to_move,New_Property,Builder_Floor,7000,10300000
146,1350,lajpat nagar,3,3,Semi-Furnished,1,Ready_to_move,New_Property,Builder_Floor,7000,26000000
147,900,lajpat nagar,2,2,Unfurnished,1,Ready_to_move,Resale,Builder_Floor,7000,11000000
148,1800,lajpat nagar,3,3,Unfurnished,1,Ready_to_move,New_Property,Builder_Floor,7000,28500000
168,1000,rohini,2,2,Semi-Furnished,1,Ready_to_move,Resale,Apartment,5255,7600000
169,1360,rohini,4,3,Semi-Furnished,1,Ready_to_move,New_Property,Builder_Floor,5255,13500000
170,1550,rohini,4,3,Semi-Furnished,1,Ready_to_move,New_Property,Builder_Floor,5255,12500000
171,850,rohini,3,2,Semi-Furnished,1,Ready_to_move,New_Property,Builder_Floor,5255,6500000
172,2170,rohini,4,4,Unfurnished,2,Ready_to_move,New_Property,Builder_Floor,5255,22000000
173,720,rohini,3,2,Semi-Furnished,1,Ready_to_move,New_Property,Builder_Floor,5255,6000000
174,850,rohini,3,2,Semi-Furnished,1,Ready_to_move,New_Property,Builder_Floor,5255,7300000
175,950,rohini,3,2,Semi-Furnished,1,Ready_to_move,New_Property,Builder_Floor,5255,7600000
176,2300,rohini,4,4,Semi-Furnished,1,Ready_to_move,New_Property,Builder_Floor,5255,20000000
177,1300,rohini,4,4,Semi-Furnished,1,Ready_to_move,New_Property,Builder_Floor,5255,15000000
178,1100,rohini,3,2,Semi-Furnished,1,Ready_to_move,New_Property,Builder_Floor,5255,6200000
179,1030,rohini,3,2,Furnished,1,Ready_to_move,New_Property,Builder_Floor,5255,6200000
182,720,rohini,2,2,Semi-Furnished,1,Ready_to_move,New_Property,Apartment,6528,4700000
183,800,rohini,2,2,Semi-Furnished,1,Ready_to_move,New_Property,Apartment,6875,5500000
184,350,rohini,1,1,Semi-Furnished,1,Ready_to_move,New_Property,Apartment,5714,2000000
185,980,rohini,3,2,Semi-Furnished,1,Ready_to_move,New_Property,Apartment,7449,7300000
186,1600,rohini,4,3,Semi-Furnished,1,Ready_to_move,New_Property,Apartment,8125,13000000
187,1450,rohini,3,3,Semi-Furnished,1,Ready_to_move,New_Property,Apartment,7931,11500000
188,445,rohini,2,2,Semi-Furnished,1,Ready_to_move,New_Property,Apartment,7931,2800000
189,380,rohini,1,1,Semi-Furnished,1,Ready_to_move,New_Property,Apartment,5789,2200000
190,680,rohini,2,2,Semi-Furnished,1,Ready_to_move,New_Property,Apartment,6471,4400000
191,1600,rohini,3,3,Semi-Furnished,1,Ready_to_move,New_Property,Apartment,8438,13500000
192,630,rohini,2,2,Semi-Furnished,1,Ready_to_move,New_Property,Apartment,6508,4100000
193,1500,rohini,3,2,Semi-Furnished,1,Ready_to_move,New_Property,Apartment,8000,12000000
194,550,rohini,2,2,Semi-Furnished,1,Ready_to_move,New_Property,Apartment,6364,3500000
195,2500,rohini,4,3,Semi-Furnished,1,Ready_to_move,New_Property,Apartment,6000,15000000
196,2800,rohini,5,4,Semi-Furnished,1,Ready_to_move,New_Property,Apartment,6250,17500000
197,300,rohini,1,1,Semi-Furnished,1,Ready_to_move,New_Property,Apartment,6333,1900000
198,800,rohini,3,2,Semi-Furnished,1,Ready_to_move,New_Property,Apartment,6875,5500000
199,1295,rohini,3,2,Semi-Furnished,1,Ready_to_move,New_Property,Apartment,6875,10000000
200,700,rohini,3,2,Semi-Furnished,1,Ready_to_move,New_Property,Apartment,6714,4700000
201,350,rohini,1,1,Semi-Furnished,1,Ready_to_move,New_Property,Builder_Floor,6714,2400000
202,450,rohini,2,2,Semi-Furnished,1,Ready_to_move,New_Property,Builder_Floor,6714,3800000
203,2200,rohini,4,4,Semi-Furnished,1,Ready_to_move,New_Property,Builder_Floor,6714,23000000
204,2300,rohini,4,4,Semi-Furnished,1,Ready_to_move,New_Property,Builder_Floor,6714,24500000
205,1150,rohini,3,2,Semi-Furnished,1,Ready_to_move,New_Property,Builder_Floor,6714,10000000
206,800,rohini,3,2,Semi-Furnished,1,Ready_to_move,New_Property,Builder_Floor,6714,5500000
207,850,rohini,3,2,Semi-Furnished,1,Ready_to_move,New_Property,Builder_Floor,6714,7000000
208,720,rohini,3,2,Semi-Furnished,1,Ready_to_move,New_Property,Builder_Floor,6714,6500000
209,4688,patel nagar,5,4,Unfurnished,1,Almost_ready,New_Property,Apartment,28797,135000000
211,3901,patel nagar,4,4,Unfurnished,1,Almost_ready,New_Property,Apartment,23840,93000000
212,950,uttam nagar,3,2,Furnished,1,Ready_to_move,New_Property,Apartment,4600,4370000
215,2400,greater kailash,4,4,Semi-Furnished,1,Ready_to_move,New_Property,Apartment,2235,70000000
219,540,uttam nagar,2,2,Semi-Furnished,1,Ready_to_move,New_Property,Apartment,6111,3300000
220,976,okhla,2,2,Furnished,1,Ready_to_move,New_Property,Apartment,25512,24900000
222,2700,greater kailash,4,3,Semi-Furnished,1,Ready_to_move,New_Property,Builder_Floor,22222,60000000
224,2900,janakpuri,5,5,Furnished,1,Almost_ready,New_Property,Builder_Floor,22222,51000000
225,5025,greater kailash,5,6,Unfurnished,4,Almost_ready,New_Property,Builder_Floor,22222,170000000
226,1000,uttam nagar,3,2,Semi-Furnished,1,Almost_ready,New_Property,Builder_Floor,22222,5510000
227,1135,karol bagh,3,3,Furnished,2,Almost_ready,Resale,Apartment,22222,25000000
228,2306,patel nagar,3,3,Unfurnished,1,Almost_ready,New_Property,Apartment,24718,57000000
229,850,najafgarh,2,2,Semi-Furnished,1,Almost_ready,New_Property,Apartment,24718,2940000
232,1800,vasant vihar,4,3,Semi-Furnished,2,Ready_to_move,Resale,Builder_Floor,30556,55000000
233,1100,vasant kunj,2,2,Semi-Furnished,1,Ready_to_move,Resale,Apartment,30556,15000000
234,22050,greater kailash,4,4,Semi-Furnished,2,Almost_ready,New_Property,Builder_Floor,30556,51000000
235,1550,rohini,4,3,Semi-Furnished,1,Ready_to_move,New_Property,Builder_Floor,30556,13000000
236,1600,greater kailash,3,3,Semi-Furnished,1,Ready_to_move,New_Property,Builder_Floor,18750,30000000
237,700,khanpur,2,2,Semi-Furnished,1,Ready_to_move,New_Property,Builder_Floor,18750,2400000
238,45,okhla,4,3,Unfurnished,1,Ready_to_move,New_Property,Builder_Floor,18750,5500000
240,4500,new friends colony,4,4,Semi-Furnished,2,Ready_to_move,New_Property,Builder_Floor,120000,60000000
241,1800,new friends colony,4,4,Semi-Furnished,2,Ready_to_move,New_Property,Builder_Floor,120000,65000000
242,6000,maharani bagh,5,5,Semi-Furnished,9,Ready_to_move,New_Property,Builder_Floor,120000,220000000
242,6000,new friends colony,5,5,Semi-Furnished,9,Ready_to_move,New_Property,Builder_Floor,120000,220000000
243,4300,new friends colony,4,4,Unfurnished,2,Ready_to_move,Resale,Builder_Floor,120000,60000000
244,1700,new friends colony,3,3,Semi-Furnished,2,Ready_to_move,New_Property,Builder_Floor,120000,38500000
245,2500,maharani bagh,3,3,Semi-Furnished,2,Ready_to_move,Resale,Apartment,120000,50000000
245,2500,new friends colony,3,3,Semi-Furnished,2,Ready_to_move,Resale,Apartment,120000,50000000
246,4500,new friends colony,4,4,Semi-Furnished,2,Ready_to_move,New_Property,Builder_Floor,120000,75000000
247,2450,new friends colony,4,4,Furnished,2,Ready_to_move,New_Property,Builder_Floor,120000,70000000
248,10350,maharani bagh,4,7,Semi-Furnished,3,Ready_to_move,New_Property,Apartment,15459,160000000
248,10350,new friends colony,4,7,Semi-Furnished,3,Ready_to_move,New_Property,Apartment,15459,160000000
249,4800,maharani bagh,3,4,Semi-Furnished,1,Ready_to_move,Resale,Builder_Floor,15459,85000000
249,4800,new friends colony,3,4,Semi-Furnished,1,Ready_to_move,Resale,Builder_Floor,15459,85000000
250,1600,new friends colony,3,3,Semi-Furnished,2,Ready_to_move,Resale,Apartment,15459,40000000
251,3500,new friends colony,4,4,Unfurnished,2,Ready_to_move,Resale,Builder_Floor,15459,90000000
252,2100,new friends colony,4,5,Semi-Furnished,2,Ready_to_move,New_Property,Builder_Floor,15459,56000000
253,4200,new friends colony,5,5,Semi-Furnished,2,Ready_to_move,New_Property,Builder_Floor,15459,135500000
254,1500,new friends colony,3,3,Semi-Furnished,2,Ready_to_move,New_Property,Builder_Floor,15459,60000000
255,8150,maharani bagh,4,5,Unfurnished,4,Ready_to_move,New_Property,Builder_Floor,15459,170000000
255,8150,new friends colony,4,5,Unfurnished,4,Ready_to_move,New_Property,Builder_Floor,15459,170000000
256,2200,maharani bagh,4,4,Semi-Furnished,2,Ready_to_move,Resale,Builder_Floor,15459,50000000
256,2200,new friends colony,4,4,Semi-Furnished,2,Ready_to_move,Resale,Builder_Floor,15459,50000000
257,3500,new friends colony,4,5,Semi-Furnished,2,Ready_to_move,New_Property,Builder_Floor,15459,58000000
258,2070,new friends colony,3,3,Semi-Furnished,2,Ready_to_move,New_Property,Builder_Floor,15459,37500000
259,3500,maharani bagh,3,3,Unfurnished,1,Ready_to_move,Resale,Builder_Floor,15459,45000000
259,3500,new friends colony,3,3,Unfurnished,1,Ready_to_move,Resale,Builder_Floor,15459,45000000
260,2000,new friends colony,4,4,Semi-Furnished,3,Ready_to_move,New_Property,Builder_Floor,15459,70000000
261,2800,south delhi,6,4,Semi-Furnished,2,Ready_to_move,Resale,Apartment,15459,29500000
261,2800,new friends colony,6,4,Semi-Furnished,2,Ready_to_move,Resale,Apartment,15459,29500000
262,2550,new friends colony,4,4,Unfurnished,1,Ready_to_move,Resale,Builder_Floor,23529,60000000
263,4500,new friends colony,4,4,Semi-Furnished,2,Ready_to_move,Resale,Builder_Floor,23529,70000000
264,1400,new friends colony,3,3,Semi-Furnished,2,Ready_to_move,New_Property,Builder_Floor,23529,50000000
265,2800,new friends colony,4,5,Semi-Furnished,2,Ready_to_move,New_Property,Builder_Floor,23529,75000000
266,2700,new friends colony,4,4,Semi-Furnished,2,Ready_to_move,New_Property,Builder_Floor,23529,52500000
267,4500,new friends colony,4,4,Semi-Furnished,2,Ready_to_move,Resale,Builder_Floor,23529,55000000
268,7200,maharani bagh,4,4,Semi-Furnished,2,Ready_to_move,Resale,Builder_Floor,16667,120000000
268,7200,new friends colony,4,4,Semi-Furnished,2,Ready_to_move,Resale,Builder_Floor,16667,120000000
272,3500,kailash colony,5,5,Semi-Furnished,1,Ready_to_move,New_Property,Builder_Floor,20000,70000000
272,3500,greater kailash,5,5,Semi-Furnished,1,Ready_to_move,New_Property,Builder_Floor,20000,70000000
273,2200,kailash colony,4,4,Semi-Furnished,2,Ready_to_move,New_Property,Builder_Floor,20000,47500000
273,2200,greater kailash,4,4,Semi-Furnished,2,Ready_to_move,New_Property,Builder_Floor,20000,47500000
274,2200,kailash colony,4,4,Semi-Furnished,1,Ready_to_move,New_Property,Builder_Floor,20000,40000000
274,2200,greater kailash,4,4,Semi-Furnished,1,Ready_to_move,New_Property,Builder_Floor,20000,40000000
275,3500,kailash colony,4,4,Semi-Furnished,3,Ready_to_move,New_Property,Builder_Floor,20000,85000000
275,3500,greater kailash,4,4,Semi-Furnished,3,Ready_to_move,New_Property,Builder_Floor,20000,85000000
276,1440,kailash colony,3,3,Semi-Furnished,3,Ready_to_move,New_Property,Builder_Floor,20000,26000000
276,1440,greater kailash,3,3,Semi-Furnished,3,Ready_to_move,New_Property,Builder_Floor,20000,26000000
277,3150,kailash colony,4,4,Semi-Furnished,3,Ready_to_move,Resale,Builder_Floor,11111,35000000
277,3150,greater kailash,4,4,Semi-Furnished,3,Ready_to_move,Resale,Builder_Floor,11111,35000000
278,900,kailash colony,2,2,Semi-Furnished,3,Ready_to_move,Resale,Builder_Floor,11111,20000000
278,900,greater kailash,2,2,Semi-Furnished,3,Ready_to_move,Resale,Builder_Floor,11111,20000000
279,3690,kailash colony,4,5,Semi-Furnished,3,Almost_ready,New_Property,Builder_Floor,21409,79000000
279,3690,greater kailash,4,5,Semi-Furnished,3,Almost_ready,New_Property,Builder_Floor,21409,79000000
280,1200,kailash colony,3,2,Semi-Furnished,3,Ready_to_move,Resale,Builder_Floor,21409,17000000
280,1200,greater kailash,3,2,Semi-Furnished,3,Ready_to_move,Resale,Builder_Floor,21409,17000000
281,4500,kailash colony,4,4,Semi-Furnished,2,Ready_to_move,Resale,Builder_Floor,95000,47500000
281,4500,greater kailash,4,4,Semi-Furnished,2,Ready_to_move,Resale,Builder_Floor,95000,47500000
282,2799,kailash colony,4,4,Semi-Furnished,2,Ready_to_move,New_Property,Builder_Floor,15363,43000000
282,2799,greater kailash,4,4,Semi-Furnished,2,Ready_to_move,New_Property,Builder_Floor,15363,43000000
283,1350,kailash colony,3,3,Unfurnished,1,Ready_to_move,New_Property,Builder_Floor,19259,26000000
283,1350,greater kailash,3,3,Unfurnished,1,Ready_to_move,New_Property,Builder_Floor,19259,26000000
284,1200,kailash colony,3,3,Unfurnished,1,Ready_to_move,New_Property,Builder_Floor,20833,25000000
284,1200,greater kailash,3,3,Unfurnished,1,Ready_to_move,New_Property,Builder_Floor,20833,25000000
285,2177,kailash colony,4,5,Semi-Furnished,2,Ready_to_move,New_Property,Builder_Floor,20833,51000000
285,2177,greater kailash,4,5,Semi-Furnished,2,Ready_to_move,New_Property,Builder_Floor,20833,51000000
286,1500,kailash colony,3,3,Semi-Furnished,2,Ready_to_move,New_Property,Builder_Floor,20833,40000000
286,1500,greater kailash,3,3,Semi-Furnished,2,Ready_to_move,New_Property,Builder_Floor,20833,40000000
287,1600,kailash colony,3,3,Unfurnished,1,Ready_to_move,Resale,Builder_Floor,20833,22500000
287,1600,greater kailash,3,3,Unfurnished,1,Ready_to_move,Resale,Builder_Floor,20833,22500000
288,4500,kailash colony,4,4,Semi-Furnished,1,Ready_to_move,New_Property,Builder_Floor,20833,70000000
288,4500,greater kailash,4,4,Semi-Furnished,1,Ready_to_move,New_Property,Builder_Floor,20833,70000000
289,2150,kailash colony,4,4,Unfurnished,2,Ready_to_move,New_Property,Builder_Floor,20930,45000000
289,2150,greater kailash,4,4,Unfurnished,2,Ready_to_move,New_Property,Builder_Floor,20930,45000000
290,2107,kailash colony,4,4,Semi-Furnished,2,Ready_to_move,New_Property,Apartment,20930,51100000
290,2107,greater kailash,4,4,Semi-Furnished,2,Ready_to_move,New_Property,Apartment,20930,51100000
291,1150,kailash colony,3,3,Semi-Furnished,1,Ready_to_move,New_Property,Builder_Floor,20930,25500000
291,1150,greater kailash,3,3,Semi-Furnished,1,Ready_to_move,New_Property,Builder_Floor,20930,25500000
292,1240,kailash colony,3,3,Unfurnished,2,Ready_to_move,New_Property,Builder_Floor,20930,26500000
292,1240,greater kailash,3,3,Unfurnished,2,Ready_to_move,New_Property,Builder_Floor,20930,26500000
293,1000,kailash colony,2,2,Unfurnished,1,Ready_to_move,Resale,Builder_Floor,20930,15000000
293,1000,greater kailash,2,2,Unfurnished,1,Ready_to_move,Resale,Builder_Floor,20930,15000000
294,4500,kailash colony,4,4,Semi-Furnished,2,Ready_to_move,Resale,Builder_Floor,20930,55000000
294,4500,greater kailash,4,4,Semi-Furnished,2,Ready_to_move,Resale,Builder_Floor,20930,55000000
295,1150,kailash colony,3,3,Semi-Furnished,2,Ready_to_move,New_Property,Builder_Floor,20930,26000000
295,1150,greater kailash,3,3,Semi-Furnished,2,Ready_to_move,New_Property,Builder_Floor,20930,26000000
296,2000,kailash colony,4,4,Semi-Furnished,2,Ready_to_move,Resale,Builder_Floor,20930,38000000
296,2000,greater kailash,4,4,Semi-Furnished,2,Ready_to_move,Resale,Builder_Floor,20930,38000000
297,4500,kailash colony,4,5,Semi-Furnished,2,Ready_to_move,Resale,Builder_Floor,20930,72500000
297,4500,greater kailash,4,5,Semi-Furnished,2,Ready_to_move,Resale,Builder_Floor,20930,72500000
298,3000,kailash colony,4,5,Semi-Furnished,4,Ready_to_move,New_Property,Builder_Floor,20930,65000000
298,3000,greater kailash,4,5,Semi-Furnished,4,Ready_to_move,New_Property,Builder_Floor,20930,65000000
305,1425,naveen shahdara,3,3,Semi-Furnished,1,Ready_to_move,Resale,Builder_Floor,6526,9300000
305,1425,shahdara,3,3,Semi-Furnished,1,Ready_to_move,Resale,Builder_Floor,6526,9300000
306,440,shahdara,2,2,Unfurnished,1,Ready_to_move,Resale,Apartment,6526,2700000
307,1017,shahdara,2,2,Furnished,1,Ready_to_move,New_Property,Builder_Floor,6526,6500000
308,650,shahdara,2,2,Semi-Furnished,1,Ready_to_move,Resale,Apartment,6526,5800000
309,950,shahdara,3,2,Semi-Furnished,1,Ready_to_move,Resale,Apartment,6526,5500000
310,810,shahdara,3,2,Semi-Furnished,1,Ready_to_move,Resale,Builder_Floor,6526,6000000
310,810,yamuna vihar,3,2,Semi-Furnished,1,Ready_to_move,Resale,Builder_Floor,6526,6000000
311,750,shahdara,2,2,Unfurnished,1,Ready_to_move,Resale,Builder_Floor,6526,4500000
312,990,shahdara,2,2,Semi-Furnished,2,Ready_to_move,Resale,Builder_Floor,6526,4100000
313,800,shahdara,3,2,Semi-Furnished,2,Ready_to_move,Resale,Builder_Floor,6526,3800000
314,675,shahdara,2,1,Unfurnished,1,Ready_to_move,Resale,Apartment,6526,3300000
315,558,shahdara,2,1,Unfurnished,1,Ready_to_move,New_Property,Builder_Floor,6526,2900000
316,445,shahdara,2,1,Unfurnished,1,Ready_to_move,Resale,Builder_Floor,6526,2000000
317,360,shahdara,2,1,Unfurnished,1,Ready_to_move,New_Property,Builder_Floor,6526,1550000
318,1350,shahdara,4,3,Semi-Furnished,1,Ready_to_move,New_Property,Builder_Floor,6526,11300000
319,850,shahdara,3,2,Semi-Furnished,1,Ready_to_move,Resale,Builder_Floor,6526,4500000
320,846,shahdara,2,1,Unfurnished,1,Ready_to_move,New_Property,Apartment,3901,3300000
321,1300,shahdara,4,3,Furnished,1,Ready_to_move,New_Property,Builder_Floor,3901,11500000
322,900,shahdara,3,2,Semi-Furnished,1,Almost_ready,New_Property,Builder_Floor,3901,6000000
323,1050,shahdara,3,2,Semi-Furnished,1,Ready_to_move,Resale,Apartment,3901,9000000
324,850,shahdara,2,2,Furnished,1,Ready_to_move,Resale,Builder_Floor,3901,4500000
325,1650,shahdara,4,3,Furnished,1,Almost_ready,New_Property,Apartment,3901,14000000
326,1150,shahdara,2,2,Semi-Furnished,1,Ready_to_move,Resale,Apartment,6347,7300000
327,495.1394,shahdara,1,1,Furnished,1,Ready_to_move,Resale,Builder_Floor,41304,1900000
328,1053,naveen shahdara,3,2,Furnished,4,Ready_to_move,Resale,Builder_Floor,41304,7000000
328,1053,shahdara,3,2,Furnished,4,Ready_to_move,Resale,Builder_Floor,41304,7000000
331,540,shahdara,2,1,Furnished,1,Ready_to_move,New_Property,Apartment,5000,2700000
331,540,yamuna vihar,2,1,Furnished,1,Ready_to_move,New_Property,Apartment,5000,2700000
332,747,shahdara,2,2,Furnished,1,Ready_to_move,Resale,Builder_Floor,8701,6500000
332,747,yamuna vihar,2,2,Furnished,1,Ready_to_move,Resale,Builder_Floor,8701,6500000
333,720,shahdara,2,1,Unfurnished,1,Ready_to_move,Resale,Builder_Floor,5556,4000000
